,date,take_out,company,restaurant,id,created_at
0,2021-01-04,0.0,Los Tacos,Sandnes,2233dde7-831b-4da1-83d8-daccc8206217,2024-03-27 16:43:01
1,2021-01-05,0.0,Los Tacos,Sandnes,0cbbc0ac-247c-41dc-a5aa-eeb36aaf74f1,2024-03-27 16:43:01
2,2021-01-06,0.0,Los Tacos,Sandnes,69d8b4ea-8a2c-428e-90d9-9f4e8910c75f,2024-03-27 16:43:01
3,2021-01-07,0.0,Los Tacos,Sandnes,fef56cfa-07e8-4613-944f-c75e5c3da289,2024-03-27 16:43:01
4,2021-01-08,0.0,Los Tacos,Sandnes,42216893-6566-4f9b-b194-4d0cf392740f,2024-03-27 16:43:01
5,2021-01-09,0.0,Los Tacos,Sandnes,6ee6d512-4d51-4863-9d7c-19cebfced18d,2024-03-27 16:43:01
6,2021-01-10,0.0,Los Tacos,Sandnes,f1f1a771-b908-419e-8d33-867be5807384,2024-03-27 16:43:01
7,2021-01-11,0.0,Los Tacos,Sandnes,a457edd4-4c92-4dbf-82d2-805010c2ea9f,2024-03-27 16:43:01
8,2021-01-12,5.109983995288308,Los Tacos,Sandnes,92fb0740-c178-4666-8766-00d8f2ccc5d9,2024-03-27 16:43:01
9,2021-01-13,4.704426584758353,Los Tacos,Sandnes,a39f16ed-8d1b-424f-83ec-09bc2f5f7b4c,2024-03-27 16:43:01
10,2021-01-14,6.63593657676852,Los Tacos,Sandnes,a378dbd9-356d-4036-bc64-a8f5d396bff4,2024-03-27 16:43:01
11,2021-01-15,4.342178605436141,Los Tacos,Sandnes,095685a2-c77d-45a0-a3da-eb0f241eda65,2024-03-27 16:43:01
12,2021-01-16,3.4676106793486268,Los Tacos,Sandnes,42af7f57-ea86-469c-9a4a-a210d4144b79,2024-03-27 16:43:01
13,2021-01-17,4.004959743848151,Los Tacos,Sandnes,595c0e47-7760-45f4-9c06-6a3271b7b9b1,2024-03-27 16:43:01
14,2021-01-18,0.9737840291118534,Los Tacos,Sandnes,bd0af6bd-4b18-41e9-9391-017a56a22907,2024-03-27 16:43:01
15,2021-01-19,1.396381610071509,Los Tacos,Sandnes,bdcc00bf-5437-4508-95be-23d0a983b04c,2024-03-27 16:43:01
16,2021-01-20,0.04554281510035585,Los Tacos,Sandnes,d47fbf12-dba9-41d7-b949-f307c58000e2,2024-03-27 16:43:01
17,2021-01-21,1.5755732079545655,Los Tacos,Sandnes,b19e1aa1-f6b4-44b0-8ef6-b3cba23f0946,2024-03-27 16:43:01
18,2021-01-22,0.0,Los Tacos,Sandnes,464a25ef-2463-4c38-b884-e7203613ff91,2024-03-27 16:43:01
19,2021-01-23,0.0,Los Tacos,Sandnes,c6eca851-5c91-471f-9bd9-64640ee16b15,2024-03-27 16:43:01
20,2021-01-24,1.4487593263551548,Los Tacos,Sandnes,d2d0978c-ccd2-4c3d-bd3f-37a22edb90a2,2024-03-27 16:43:01
21,2021-01-25,0.0,Los Tacos,Sandnes,1b4b0f57-a953-4936-9258-2152a3ae0468,2024-03-27 16:43:01
22,2021-01-26,0.399303360295149,Los Tacos,Sandnes,bba22f43-04b9-4836-8b97-ab3caa6c9a79,2024-03-27 16:43:01
23,2021-01-27,0.0,Los Tacos,Sandnes,eec7c167-16a8-42ae-9a7c-6c065f6dec76,2024-03-27 16:43:01
24,2021-01-28,0.0,Los Tacos,Sandnes,79040e58-07a2-418e-b7e7-046312f3be59,2024-03-27 16:43:01
25,2021-01-29,0.0,Los Tacos,Sandnes,fc026bb6-1e85-4d2d-910e-3323494f1d1f,2024-03-27 16:43:01
26,2021-01-30,0.0,Los Tacos,Sandnes,af15d321-09b7-4f85-9a64-9f487f9f621c,2024-03-27 16:43:01
27,2021-01-31,0.0,Los Tacos,Sandnes,0701bd16-f49e-4b15-b680-5a141802e364,2024-03-27 16:43:01
28,2021-02-01,0.0,Los Tacos,Sandnes,859b12ea-41d7-44bb-9aeb-df8df20a0d33,2024-03-27 16:43:01
29,2021-02-02,0.0,Los Tacos,Sandnes,f5507ad3-4383-46dc-ab83-e986a8b07eb6,2024-03-27 16:43:01
30,2021-02-03,0.0,Los Tacos,Sandnes,da7a3159-da12-4575-8402-ff5d0f120581,2024-03-27 16:43:01
31,2021-02-04,0.0,Los Tacos,Sandnes,e8b38660-0169-426c-a7f5-c58e89128839,2024-03-27 16:43:01
32,2021-02-05,0.0,Los Tacos,Sandnes,b75cee27-48fa-471b-827a-e67df64c0e48,2024-03-27 16:43:01
33,2021-02-06,0.0,Los Tacos,Sandnes,55ad47a3-c510-43f0-96ee-f99bd9fd32dd,2024-03-27 16:43:01
34,2021-02-07,0.0,Los Tacos,Sandnes,81301365-1f46-46e3-9434-64c45fec5a0e,2024-03-27 16:43:01
35,2021-02-08,0.0,Los Tacos,Sandnes,70583f28-cba9-4f78-93aa-de8c59d94f73,2024-03-27 16:43:01
36,2021-02-09,0.0,Los Tacos,Sandnes,11ce44e7-8e04-446d-af49-8773e430123b,2024-03-27 16:43:01
37,2021-02-10,0.0,Los Tacos,Sandnes,fdd51182-fa3f-4720-aa8b-cae68c694cee,2024-03-27 16:43:01
38,2021-02-11,0.0,Los Tacos,Sandnes,85fe037d-1397-4052-be67-01ae768b7485,2024-03-27 16:43:01
39,2021-02-12,0.0,Los Tacos,Sandnes,7c2b8a2b-01fa-491e-ab1a-133622f5da6b,2024-03-27 16:43:01
40,2021-02-13,0.0,Los Tacos,Sandnes,00948c76-6047-4122-bb2e-0e8669c04881,2024-03-27 16:43:01
41,2021-02-14,0.0,Los Tacos,Sandnes,7aba87c5-ffc6-4e78-83c5-ddedc28449fe,2024-03-27 16:43:01
42,2021-02-15,0.0,Los Tacos,Sandnes,2424cc5f-5f0c-40c4-bd94-1377b9c690a4,2024-03-27 16:43:01
43,2021-02-16,0.0,Los Tacos,Sandnes,43d7d7eb-16c8-458e-8361-ef723d361e85,2024-03-27 16:43:01
44,2021-02-17,0.0,Los Tacos,Sandnes,c0d9c583-1850-4d10-ba39-654eceb8ec34,2024-03-27 16:43:01
45,2021-02-18,0.0,Los Tacos,Sandnes,3471bee2-4d95-4774-a338-d6e86846c4f2,2024-03-27 16:43:01
46,2021-02-19,0.0,Los Tacos,Sandnes,518d63bb-fc1d-4ddc-9e8b-e43971fb09d2,2024-03-27 16:43:01
47,2021-02-20,0.0,Los Tacos,Sandnes,68f1b45d-b9ca-4d92-a9ce-1b24dcce3ef1,2024-03-27 16:43:01
48,2021-02-21,0.0,Los Tacos,Sandnes,2123aeb9-ce7d-4e19-b563-3c791b4f95b3,2024-03-27 16:43:01
49,2021-02-22,0.0,Los Tacos,Sandnes,4bd52c27-806c-4b18-bdff-75f3e6533f2e,2024-03-27 16:43:01
50,2021-02-23,0.0,Los Tacos,Sandnes,57c323d1-7f09-4af6-ac80-c8155966a01b,2024-03-27 16:43:01
51,2021-02-24,0.0,Los Tacos,Sandnes,1877fea3-7b86-437e-a876-068998b4deb3,2024-03-27 16:43:01
